,学校名,考试方式,院系所,专业,研究方向,学习方式,拟招生人数,政治,外语,业务课一,业务课二
1707,,统考,(028)柔性电子研究院,(085400)(专业学位)电子信息,(02)柔性电子工艺与设备,全日制,"('专业：15(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(827)信号与系统
1708,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(828)光学
1709,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(845)电路基础
1710,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(846)传感与计算机控制系统
1711,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(852)综合控制原理
1712,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(882)半导体物理与器件
1713,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(887)信号与系统基础
1714,,统考,(028)柔性电子研究院,(085400)(专业学位)电子信息,(03)柔性智能信息处理与融合技术,全日制,"('专业：15(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(827)信号与系统
1715,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(828)光学
1716,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(845)电路基础
1717,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(846)传感与计算机控制系统
1718,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(852)综合控制原理
1719,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(882)半导体物理与器件
1720,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(887)信号与系统基础
1721,,统考,(028)柔性电子研究院,(085400)(专业学位)电子信息,(04)柔性微纳加工技术,全日制,"('专业：15(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(827)信号与系统
1722,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(828)光学
1723,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(845)电路基础
1724,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(846)传感与计算机控制系统
1725,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(852)综合控制原理
1726,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(882)半导体物理与器件
1727,,,,,,,,(101)思想政治理论,(204)英语二,(302)数学二,(887)信号与系统基础
1728,,统考,(028)柔性电子研究院,(085400)(专业学位)电子信息,(05)柔性电子系统,全日制,"('专业：15(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(827)信号与系统
